"Pitcairn Islands","Adamstown"
"Ethiopia","Addis Ababa"
"Niue","Alofi"
"Netherlands","Amsterdam"
"Madagascar","Antananarivo"
"Turkmenistan","Ashgabat"
"Eritrea","Asmara"
"Kazakhstan","Astana"
"Mali","Bamako"
"Brunei","Bandar Seri Begawan"
"Thailand","Bangkok"
"Gambia","Banjul"
"Saint Kitts and Nevis","Basseterre"
"China","Beijing"
"Lebanon","Beirut"
"United Kingdom Northern Ireland","Belfast"
"Serbia","Belgrade"
"Belize","Belmopan"
"Germany","Berlin"
"Guinea-Bissau","Bissau"
"Brazil","Brasília"
"Republic of the Congo","Brazzaville"
"Hungary","Budapest"
"United States Virgin Islands","Charlotte Amalie"
"Moldova","Chisinau"
"Denmark","Copenhagen"
"Syria","Damascus"
"Bangladesh","Dhaka"
"East Timor (Timor-Leste)","Dili"
"Qatar","Doha"
"Ireland","Dublin"
"Tajikistan","Dushanbe"
"Scotland","Edinburgh"
"Sierra Leone","Freetown"
"Tuvalu","Funafuti"
"Cayman Islands","George Town"
"Ascension Island","Georgetown"
"Gibraltar","Gibraltar"
"Saint Barthélemy","Gustavia"
"Guam","Hagåtña"
"Bermuda","Hamilton"
"Vietnam","Hanoi"
"Zimbabwe","Harare"
"Cuba","Havana"
"Pakistan","Islamabad"
"Israel","Jerusalem"
"Palestine","Jerusalem"
"South Sudan","Juba"
"Afghanistan","Kabul"
"Ukraine","Kiev"
"Jamaica","Kingston"
"Saint Vincent and the Grenadines","Kingstown"
"Malaysia","Kuala Lumpur"
"Kuwait","Kuwait City"
"Peru","Lima"
"Portugal","Lisbon"
"Slovenia","Ljubljana"
"United Kingdom; England","London"
"Angola","Luanda"
"Luxembourg","Luxembourg"
"Marshall Islands","Majuro"
"Mozambique","Maputo"
"Saint Martin","Marigot"
"Wallis and Futuna","Mata-Utu"
"Belarus","Minsk"
"Somalia","Mogadishu"
"Liberia","Monrovia"
"Comoros","Moroni"
"Russia","Moscow"
"Chad","N'Djamena"
"Bahamas","Nassau"
"India","New Delhi"
"Niger","Niamey"
"Cyprus","Nicosia"
"Tonga","Nukuʻalofa"
"Greenland","Nuuk"
"Norway","Oslo"
"Canada","Ottawa"
"Burkina Faso","Ouagadougou"
"American Samoa","Pago Pago"
"French Polynesia","Papeete"
"Suriname","Paramaribo"
"France","Paris"
"Sint Maarten","Philipsburg"
"Cambodia","Phnom Penh"
"Montserrat","Plymouth"
"Mauritius","Port Louis"
"Papua New Guinea","Port Moresby"
"Trinidad and Tobago","Port of Spain"
"Haiti","Port-au-Prince"
"South Africa","Pretoria"
"North Korea","Pyongyang"
"Ecuador","Quito"
"Dominica","Roseau"
"Costa Rica","San José"
"San Marino","San Marino"
"El Salvador","San Salvador"
"Yemen","Sanaá"
"Bosnia and Herzegovina","Sarajevo"
"South Korea","Seoul"
"Sri Lanka","Sri Jayawardenapura Kotte"
"Jersey","St. Helier"
"Antigua and Barbuda","St. John's"
"Guernsey","St. Peter Port"
"Nagorno-Karabakh Republic","Stepanakert"
"Sweden","Stockholm"
"Bolivia","Sucre"
"Fiji","Suva"
"Kiribati","Tarawa"
"Uzbekistan","Tashkent"
"Iran","Tehran"
"Albania","Tirana"
"Tunisia","Tunis"
"Faroe Islands","Tórshavn"
"Mongolia","Ulaanbaatar"
"Liechtenstein","Vaduz"
"Vatican City","Vatican City"
"Austria","Vienna"
"Laos","Vientiane"
"New Zealand","Wellington"
"Cocos (Keeling) Islands","West Island"
"Côte d'Ivoire","Yamoussoukro"
"Nauru","Yaren"
"Armenia","Yerevan"
